Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Sonora,PRI,Eduardo Bours Castelo,2003-09-13,2009-09-12,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Photo_of_ebc_by_lfg.jpg/200px-Photo_of_ebc_by_lfg.jpg,
Sonora,PAN,Guillermo Padrés Elías,2009-09-13,2015-09-12,https://guillermopadres.files.wordpress.com/2015/01/captura-de-pantalla-2015-01-26-a-las-08-17-32-p-m.png,
Sonora,PRI,Claudia Pavlovich Arellano ,2015-09-13,,http://www.redpolitica.mx/sites/default/files/pavlovich.png?1426102372,
Tabasco,PRI,Manuel Gurría Ordóñez,1992-01-28,1994-12-31,http://www.reporterosdelsur.com.mx/diario2/wp-content/uploads/gurria.jpg,
Tabasco,PRI,Roberto Madrazo Pintado ,1995-01-01,1999-06-14,http://vignette3.wikia.nocookie.net/inciclopedia/images/c/cf/Madrazo.jpg/revision/latest?cb=20060719050942,
Tabasco,PRI,Víctor Manuel Barceló Rodríguez,1999-06-14,1999-12-07,http://www.elcorreodetabasco.com.mx/wp-content/uploads/2015/01/Barcel%C3%B3-cambios.jpg,
Tabasco,PRI,Roberto Madrazo Pintado ,1999-12-07,2000-12-31,http://vignette3.wikia.nocookie.net/inciclopedia/images/c/cf/Madrazo.jpg/revision/latest?cb=20060719050942,
Tabasco,PRI,Enrique Priego Oropeza,2001-01-01,2001-12-31,http://vertienteglobal.com/wp-content/uploads/2014/07/enrique-priego-oropeza.jpg,
Tabasco,PRI,Manuel Andrade Díaz,2002-01-01,2006-12-31,http://www.elcorreodetabasco.com.mx/wp-content/uploads/2014/06/MAD-Madra.jpg,
Tabasco,PRI,Andrés Granier Melo,2007-01-01,2012-12-31,http://438424cd093f86f0c7e0-2cd4f1b3b970cf6c05d6a60490c230b4.r88.cf2.rackcdn.com/imagen_portada_grande/granier_0.jpg,
Tabasco,PRD,Arturo Núñez Jiménez,2013-01-01,,http://www.elrevolucionario.org/IMG/jpg/Arturo_nunez.jpg,
Tamaulipas,PRI,Américo Villarreal Guerra,1987-02-05,1993-02-04,http://www.laprensa.mx/upload/foto/1/5/7/IMG_3342.jpg,
Tamaulipas,PRI,Manuel Cavazos Lerma,1993-02-05,1999-02-04,http://elchutis.com.mx/file/2015/12/manuel.jpg,
Tamaulipas,PRI,Tomás Yarrington Ruvalcaba,1999-02-05,2004-12-31,http://farm8.staticflickr.com/7330/12821930355_c8f60b02ca_b.jpg,
Tamaulipas,PRI,Eugenio Hernández Flores,2005-02-05,2010-12-31,https://pbs.twimg.com/profile_images/378800000262303356/c8dd2083196cc8a85380ecf8a25b5c0a.jpeg,
Tamaulipas,PRI,Egidio Torre Cantú,2011-01-01,,http://sentido-comun.com.mx/wp-content/uploads/2014/04/foto6_319.jpg,
Tlaxcala,PRI,Samuel Quiroz de la Vega,1992-04-15,1993-01-14,,
Tlaxcala,PRI,José Antonio Álvarez Lima,1993-01-15,1999-01-14,http://i.oem.com.mx/4ca37974-2264-47d4-93e2-b83c15cc859f.jpg,
Tlaxcala,PRD,Alfonso Sánchez Anaya,1999-01-15,2005-01-14,http://prd.senado.gob.mx/oldpr/cs/imagenes/aasa.jpg,
Tlaxcala,PAN,Héctor Ortiz Ortiz,2005-01-15,2011-01-14,http://www.redpolitica.mx/sites/default/files/1143.jpg?1386179788,
Tlaxcala,PRI,Mariano González Zarur,2011-01-15,,http://e-tlaxcala.mx/sites/default/files/Nota%20Sueldos.jpg,
Veracruz,PRI,Patricio Chirinos Calero,1992-12-01,1998-11-30,http://www.redpolitica.mx/sites/default/files/1104.jpg?1386178636,
Veracruz,PRI,Miguel Alemán Velasco,1998-12-01,2004-11-30,https://www.thebusinessyear.com/Content/interviewee/1344_b.jpg,
Veracruz,PRI,Fidel Herrera Beltrán,2004-12-01,2010-11-30,http://neopoliticatv.org/wp-content/uploads/2014/12/Fidel_Herrera_Beltra%CC%81n.jpg,
Veracruz,PRI,Javier Duarte de Ochoa,2010-12-01,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Javier_Duarte_de_Ochoa.jpg/220px-Javier_Duarte_de_Ochoa.jpg,
Yucatán,PRI,Dulce María Sauri Riancho,1991-02-14,1993-12-01,https://pbs.twimg.com/profile_images/474990109272444928/OdX4_tx0.jpeg,
Yucatán,PRI,Ricardo Ávila Heredia,1993-12-01,1994-02-01,,
Yucatán,PRI,Federico Granja Ricalde,1994-02-01,1995-07-31,https://manogarci46.files.wordpress.com/2013/05/06cuco.jpg,
Yucatán,PRI,Víctor Cervera Pacheco,1995-08-01,2001-07-31,http://www.manuelmedina.com.mx/wp-content/uploads/2012/08/2012-08-18-vcp2.jpg,
Yucatán,PAN,Patricio Patrón Laviada,2001-08-01,2007-07-31,http://www.linearecta.com.mx/wp-content/uploads/2013/03/FSM_0070.jpg,
Yucatán,PRI,Ivonne Ortega Pacheco,2007-08-01,2012-09-30,http://www.creabits.com/wp-content/uploads/2007/05/ortega_pacheco.jpg,
Yucatán,PRI,Rolando Zapata Bello,2012-10-01,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/ROLANDO_ZAPATA1.jpg/220px-ROLANDO_ZAPATA1.jpg,
Zacatecas,PRI,Arturo Romo Gutiérrez,1992-09-12,1998-09-11,http://www.imagenzac.com.mx/images/notas/2014/08/19/8I.jpg,
Zacatecas,PRD,Ricardo Monreal Ávila,1998-09-12,2004-09-11,http://www.sexenio.com.mx/diario/20150124/57889.jpg,
Zacatecas,PRD,Amalia García Medina ,2004-09-12,2010-09-11,http://static.adnpolitico.com/media/2012/10/19/amalia-garca-medina.jpg,
Zacatecas,PRI,Miguel Alonso Reyes,2010-09-12,,http://2000masmedios.com/wp-content/uploads/2013/07/MIGUEL1.jpg,
