ENTIDAD,ACREDITADO 2/,ACREEDOR 3/,TIPO DE OBLIGACIÓN 4/,FECHA DE FIRMA 5/,FECHA DE INSCRIPCIÓN 6/,MONTO ORIGINAL CONTRATADO 7/,SALDO AL 30 DE JUNIO DE 2015 8/,PLAZO PACTADO (MESES) 9/,FUENTE O GARANTÍA DE PAGO 10/,DESTINO 11/
VERACRUZ,ÚRSULO GALVÁN,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,01/30/2012,8900000,2763201.89,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,OTEAPAN,BANOBRAS,CRÉDITO SIMPLE,12/28/2011,01/31/2012,6000000,2405432.51,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,"VIGAS DE RAMIREZ, LAS",BANOBRAS,CRÉDITO SIMPLE,12/27/2011,01/31/2012,5370000,1885137.4,60,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
COLIMA,COLIMA,BANOBRAS,CRÉDITO SIMPLE,12/27/2011,02/01/2012,20000000,9166666.58,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,TEOCALTICHE,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,02/01/2012,4059787.66,2706525.26,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,SAN MIGUEL EL ALTO,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,02/01/2012,5000000,3333333.2,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
ZACATECAS,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,01/05/2012,02/02/2012,1147850000,1113005966.99,200,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,BENITO JUÁREZ,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,02/09/2012,2500000,1625112.2,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,BENITO JUÁREZ,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,02/09/2012,4100000,2810709.55,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,GOBIERNO DEL ESTADO,BANORTE,CRÉDITO SIMPLE,02/01/2012,02/13/2012,1471852537,1425560420.67,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,JOCOTEPEC,BANSI,CRÉDITO SIMPLE,10/31/2011,02/17/2012,10833334,0,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,JOCOTEPEC,BANSI,CRÉDITO SIMPLE,10/31/2011,02/17/2012,29166666,0,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,NOGALES,BANOBRAS,CRÉDITO SIMPLE,12/19/2011,02/20/2012,15000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,NOGALES,BANOBRAS,CRÉDITO SIMPLE,12/19/2011,02/20/2012,25000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
